new entry "Target_WaterSacrifice"
type "SkillData"
data "SkillType" "Target"
using "Target_DummyTargetSkill_Water"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "Yes"
data "Ability" "Water"
data "ActionPoints" "1"
data "Cooldown" "0"
data "Damage Multiplier" "1000"
data "Damage Range" "10"
data "DamageType" "Water"
data "SkillProperties" "DYING,100,-1,FrozenShatter;Douse;TargetCreateSurface,1,,Water;SELF:DYING,100,-1,BLOCK_RESURRECTION;FrozenShatter;Douse;CreateSurface,1,,Water;"
data "TargetRadius" "14"
data "AreaRadius" "2"
data "DeathType" "FrozenShatter"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Icon" "Skill_Water_Shatter"
data "DisplayName" "Target_WaterSacrifice_DisplayName"
data "DisplayNameRef" "WaterSacrifice"
data "Description" "Target_WaterSacrifice_Description"
data "DescriptionRef" "A spell [1] that destroys character's body in exchange for 'nsane damage"
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Water_Prepare_Water_Root_01_Snow,KeepRot;RS3_FX_Skills_Water_Prepare_Water_Hand_01_Snow:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" " skill_cast_cone_air_01_cast cast"
data "CastSelfAnimation" "skill_cast_self_touch_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Water_Cast_Cone_Air_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX;RS3_FX_Skills_Water_Cast_Cone_Air_Root_01:Dummy_Root:cast;RS3_FX_Skills_Water_Cast_Cone_Air_Dummy_01:Dummy_CastFX:cast"
data "TargetEffect" "RS3_FX_Skills_Water_WinterBlast_Base_CastTarget_001:root:cast"
data "TargetGroundEffect" "RS3_FX_Skills_Water_WinterBlast_Base_CastTarget_001:root:cast"

